,country_code,country,type_of_document,date,backend_status,current,version_number,url,comment,annex_type,income_group,region,eu27,ghg_total,ghg_transport,mena,document_path
67,CHN,China,LTS,2021-10-28 00:00:00,uploaded,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/China%E2%80%99s%20Mid-Century%20Long-Term%20Low%20Greenhouse%20Gas%20Emission%20Development%20Strategy.pdf,,Non-Annex I,Middle-income,Asia,0,11535.19984,986.4536904,0,../data/downloaded_documents/b8742dc1228f1576fb1dfd09216fc54a5e0172e26c06d4a46c20f90bc19a2d0e.pdf
68,CHN,China,1st NDC,2016-09-03 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/China%27s%20First%20NDC%20Submission.pdf,,Non-Annex I,Middle-income,Asia,0,11535.19984,986.4536904,0,../data/downloaded_documents/0c3e177e973387a9b50392dfaeeb8ba67c4af199c73e314a23b2a310abdcec8a.pdf
69,CHN,China,Updated NDC,2021-10-28 00:00:00,uploaded,x,NDC 1.1,"https://unfccc.int/sites/default/files/NDC/2022-06/China%E2%80%99s%20Achievements,%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf",,Non-Annex I,Middle-income,Asia,0,11535.19984,986.4536904,0,../data/downloaded_documents/4f84c58e68e06d98f1816b0469319543a784ccb599fdaae818b4da2b14d02aec.pdf
70,COL,Colombia,LTS,2021-11-12 00:00:00,uploaded,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/COL_LTS_Nov2021.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,86.54957848,30.72169626,0,../data/downloaded_documents/1cddcc16e1b83bab1c21536a9b55e781fc3ce510d54ed49691cf6dd02c53d42d.pdf
71,COL,Colombia,1st NDC,2018-07-12 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Colombia%20iNDC%20Unofficial%20translation%20Eng.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,86.54957848,30.72169626,0,../data/downloaded_documents/759cfeb498ee89e963ca532f92ee6613fe1d601fd24189698d8b4992e618d564.pdf
72,COL,Colombia,Updated NDC,2020-12-30 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20actualizada%20de%20Colombia.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,86.54957848,30.72169626,0,../data/downloaded_documents/8fbf0036679189fa75330469d7012f8cf96bf06a9cd5f4ab30917063b87f55e5.pdf
73,COM,Comoros,1st NDC,2016-11-23 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_Comores_Version_Francaise.pdf,,Non-Annex I,Middle-income,Africa,0,0.2138544744,0.1055120848,0,../data/downloaded_documents/2a465b0be793e2823d1f01a9af42944caa795bfb18627b52a9d0ec16e6315d79.pdf
74,COM,Comoros,Updated NDC,2021-11-05 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf,,Non-Annex I,Middle-income,Africa,0,0.2138544744,0.1055120848,0,../data/downloaded_documents/59ba4072b53b47ea0bc54b7969fd4d4229ebb7e088654b7dc7f4d4a3ee6ef8b8.pdf
75,COG,Congo,1st NDC,2017-04-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Congo_RAPPORT.pdf,,Non-Annex I,Middle-income,Africa,0,5.803544285,1.62318019,0,../data/downloaded_documents/9dadf46e2fae290b1c010f30a94fc75f8718c9d63dd45d092944c332343528b0.pdf
76,COG,Congo,Updated NDC,2021-08-02 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_Congo.pdf,,Non-Annex I,Middle-income,Africa,0,5.803544285,1.62318019,0,../data/downloaded_documents/9c65df708e3663b7698b04ee9ce8ae62988a15b2a2158915842aa45fca470523.pdf
77,COK,Cook Islands,1st NDC,2016-09-01 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Cook%20Islands%20INDCsFINAL7Nov.pdf,,Non-Annex I,,Oceania,0,0.04386906697,0.02323334658,0,../data/downloaded_documents/8610c142de388e568cc3251d176592498bb70a421820a948db8bfb5296571da8.pdf
78,CRI,Costa Rica,1st NDC,2016-10-13 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Costa%20Rica%20Version%202%200%20final%20ENG.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,8.979111405,5.964751368,0,../data/downloaded_documents/48215343ff2fd7ab3978ae9c5f6e04b507f6dace43b9b5683574a381714a158e.pdf
79,CRI,Costa Rica,LTS,2019-12-12 00:00:00,,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/NationalDecarbonizationPlan.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,8.979111405,5.964751368,0,../data/downloaded_documents/8985879933cf54ea2b327b33336d88d5b6999824c9df6a3f6faf5cfa463ca1fc.pdf
